threshold,accuracy,macro_f1,hall_precision,hall_recall,hall_f1,accurate_precision,accurate_recall,accurate_f1,contr_precision,contr_recall,contr_f1
0.5,0.7984,0.8004,0.4972,0.7,0.5814,0.8843,0.764,0.8197,1.0,1.0,1.0
0.55,0.7984,0.8004,0.4972,0.7,0.5814,0.8843,0.764,0.8197,1.0,1.0,1.0
0.6,0.7984,0.8004,0.4972,0.7,0.5814,0.8843,0.764,0.8197,1.0,1.0,1.0
0.65,0.8184,0.8242,0.5305,0.8,0.638,0.9197,0.764,0.8347,1.0,1.0,1.0
0.7,0.8184,0.8242,0.5305,0.8,0.638,0.9197,0.764,0.8347,1.0,1.0,1.0
0.75,0.8184,0.8242,0.5305,0.8,0.638,0.9197,0.764,0.8347,1.0,1.0,1.0
0.8,0.8184,0.8242,0.5305,0.8,0.638,0.9197,0.764,0.8347,1.0,1.0,1.0
0.85,0.8184,0.8242,0.5305,0.8,0.638,0.9197,0.764,0.8347,1.0,1.0,1.0
0.9,0.818,0.8237,0.5298,0.8,0.6375,0.9197,0.764,0.8347,1.0,0.998,0.999
0.95,0.8184,0.8242,0.5305,0.8,0.638,0.9197,0.764,0.8347,1.0,1.0,1.0
